,DOWJONES_Date,DOWJONES_Open,DowJONES_Close,DJI_Returns,NASDAQ_Date,NASDAQ_Open,NASDAQ_Close,NASDAQ_Returns,S&P500_Date,S&P500_Open,S&P500_Close,S&P500_Returns,CBOE_Voltality_index_Date,CBOE_Voltality_index_Open,CBOE_Voltality_index_Close,CBOE_Voltality_index_Returns,Russell2000_Date,Russell2000_Open,Russell2000_Close,Russell2000_Returns
0,2017-01-20,2269.96,2271.31,-0.0005947241361080852,2017-01-20,2269.96,2271.31,-0.0005947241361080852,2017-01-20,2269.96,2271.31,-0.0005947241361080852,2017-01-20,2269.96,2271.31,-0.0005947241361080852,2017-01-20,2269.96,2271.31,-0.0005947241361080852
1,2017-01-23,2267.78,2265.2,0.0011376764941927267,2017-01-23,2267.78,2265.2,0.0011376764941927267,2017-01-23,2267.78,2265.2,0.0011376764941927267,2017-01-23,2267.78,2265.2,0.0011376764941927267,2017-01-23,2267.78,2265.2,0.0011376764941927267
2,2017-01-24,2267.88,2280.07,-0.0053750639363635,2017-01-24,2267.88,2280.07,-0.0053750639363635,2017-01-24,2267.88,2280.07,-0.0053750639363635,2017-01-24,2267.88,2280.07,-0.0053750639363635,2017-01-24,2267.88,2280.07,-0.0053750639363635
3,2017-01-25,2288.88,2298.37,-0.004146132606340123,2017-01-25,2288.88,2298.37,-0.004146132606340123,2017-01-25,2288.88,2298.37,-0.004146132606340123,2017-01-25,2288.88,2298.37,-0.004146132606340123,2017-01-25,2288.88,2298.37,-0.004146132606340123
4,2017-01-26,2298.63,2296.68,0.000848331397397699,2017-01-26,2298.63,2296.68,0.000848331397397699,2017-01-26,2298.63,2296.68,0.000848331397397699,2017-01-26,2298.63,2296.68,0.000848331397397699,2017-01-26,2298.63,2296.68,0.000848331397397699
5,2017-01-27,2299.02,2294.69,0.0018834111925950742,2017-01-27,2299.02,2294.69,0.0018834111925950742,2017-01-27,2299.02,2294.69,0.0018834111925950742,2017-01-27,2299.02,2294.69,0.0018834111925950742,2017-01-27,2299.02,2294.69,0.0018834111925950742
6,2017-01-30,2286.01,2280.9,0.002235335803430487,2017-01-30,2286.01,2280.9,0.002235335803430487,2017-01-30,2286.01,2280.9,0.002235335803430487,2017-01-30,2286.01,2280.9,0.002235335803430487,2017-01-30,2286.01,2280.9,0.002235335803430487
7,2017-01-31,2274.02,2278.87,-0.0021327868708278333,2017-01-31,2274.02,2278.87,-0.0021327868708278333,2017-01-31,2274.02,2278.87,-0.0021327868708278333,2017-01-31,2274.02,2278.87,-0.0021327868708278333,2017-01-31,2274.02,2278.87,-0.0021327868708278333
8,2017-02-01,2285.59,2279.55,0.0026426436937508316,2017-02-01,2285.59,2279.55,0.0026426436937508316,2017-02-01,2285.59,2279.55,0.0026426436937508316,2017-02-01,2285.59,2279.55,0.0026426436937508316,2017-02-01,2285.59,2279.55,0.0026426436937508316
9,2017-02-02,2276.69,2280.85,-0.0018272140695482716,2017-02-02,2276.69,2280.85,-0.0018272140695482716,2017-02-02,2276.69,2280.85,-0.0018272140695482716,2017-02-02,2276.69,2280.85,-0.0018272140695482716,2017-02-02,2276.69,2280.85,-0.0018272140695482716
